dataset,task,model,fold,seed,accuracy,auroc,auprc,es,mae,mse,rmse,r2,osmae
tjh,outcome,StageNet,9,0,0.879518092,0.962817371,0.946073949,0.748088974,,,,,
tjh,outcome,TCN,0,0,0.878612697,0.96799773,0.960984349,0.575989218,,,,,
tjh,outcome,TCN,1,0,0.944444418,0.992190599,0.988655567,0.841633496,,,,,
tjh,outcome,TCN,2,0,0.897142828,0.948409081,0.897408545,0.630227958,,,,,
tjh,outcome,TCN,3,0,0.867549658,0.939754665,0.930844188,0.64462603,,,,,
tjh,outcome,TCN,4,0,0.892655373,0.940340161,0.817837179,0.846041788,,,,,
tjh,outcome,TCN,5,0,0.885714293,0.962127268,0.94530189,0.926217507,,,,,
tjh,outcome,TCN,6,0,0.915032685,0.949087024,0.948993623,0.719460276,,,,,
tjh,outcome,TCN,7,0,0.906593382,0.976657271,0.886794984,0.615831887,,,,,
tjh,outcome,TCN,8,0,0.959302306,0.986070037,0.973220229,0.921746799,,,,,
tjh,outcome,TCN,9,0,0.927710831,0.976412833,0.962649643,0.74468477,,,,,
tjh,outcome,Transformer,0,0,0.890173435,0.973095477,0.96194613,0.670886869,,,,,
tjh,outcome,Transformer,1,0,0.938888907,0.985021174,0.976796687,0.909228955,,,,,
tjh,outcome,Transformer,2,0,0.89142859,0.949152529,0.842676461,0.676791845,,,,,
tjh,outcome,Transformer,3,0,0.841059625,0.944083691,0.923790514,0.634889758,,,,,
tjh,outcome,Transformer,4,0,0.909604549,0.977943063,0.969775558,0.919265816,,,,,
tjh,outcome,Transformer,5,0,0.845714271,0.97005105,0.964852214,0.860201591,,,,,
tjh,outcome,Transformer,6,0,0.90196079,0.935217679,0.793591857,0.777423029,,,,,
tjh,outcome,Transformer,7,0,0.978021979,0.99973321,0.9995116,0.898903128,,,,,
tjh,outcome,Transformer,8,0,0.982558131,0.992261231,0.991594791,0.95166714,,,,,
tjh,outcome,Transformer,9,0,0.873493969,0.95954138,0.921967149,0.62213346,,,,,
tjh,los,AdaCare,0,0,,,,,4.534991264,48.37368393,6.955119133,-0.183005214,
tjh,los,AdaCare,1,0,,,,,3.83591342,30.04351044,5.481195927,0.341850877,
tjh,los,AdaCare,2,0,,,,,4.596141338,42.52069855,6.520789623,0.127298474,
tjh,los,AdaCare,3,0,,,,,4.303908348,31.09845543,5.576599121,0.274182439,
tjh,los,AdaCare,4,0,,,,,5.664106369,59.69169998,7.726040363,-0.015753388,
tjh,los,AdaCare,5,0,,,,,4.117722988,28.58575821,5.346565247,0.285416663,
tjh,los,AdaCare,6,0,,,,,4.821515083,45.9250679,6.776803493,0.106365621,
tjh,los,AdaCare,7,0,,,,,3.740258217,23.59209251,4.857169151,0.266470969,
tjh,los,AdaCare,8,0,,,,,4.578953743,37.97480392,6.162370205,0.195346653,
tjh,los,AdaCare,9,0,,,,,5.34057188,48.88261414,6.99161005,0.124896467,
tjh,los,Agent,0,0,,,,,4.637290001,46.448452,6.815310001,-0.13592267,
tjh,los,Agent,1,0,,,,,4.096055031,31.43954468,5.607097626,0.311268628,
